Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2013,3,"5,673,163","1,872,393","7,545,556"
2013,4,"5,349,248","1,686,536","7,035,784"
2013,5,"5,661,503","1,796,344","7,457,847"
2013,6,"5,766,511","1,953,480","7,719,991"
2013,7,"5,904,915","2,168,377","8,073,292"
2013,8,"5,717,993","2,068,984","7,786,977"
2013,9,"5,004,226","1,634,307","6,638,533"
2013,10,"5,537,823","1,687,648","7,225,471"
2013,11,"5,039,567","1,630,630","6,670,197"
2013,12,"5,379,304","1,950,554","7,329,858"
2013,TOTAL,"65,052,255","21,768,340","86,820,595"
2014,1,"5,222,881","1,881,402","7,104,283"
2014,2,"4,816,811","1,558,364","6,375,175"
2014,3,"5,741,624","1,807,255","7,548,879"
2014,4,"5,501,405","1,767,296","7,268,701"
2014,5,"5,767,256","1,820,960","7,588,216"
2014,6,"5,935,921","1,918,545","7,854,466"
2014,7,"6,137,012","2,106,182","8,243,194"
2014,8,"5,846,685","1,969,771","7,816,456"
2014,9,"5,163,078","1,549,901","6,712,979"
2014,10,"5,586,600","1,599,344","7,185,944"
2014,11,"5,099,070","1,591,197","6,690,267"
2014,12,"5,566,235","1,873,600","7,439,835"
2014,TOTAL,"66,384,578","21,443,817","87,828,395"
2015,1,"5,140,185","1,807,013","6,947,198"
2015,2,"4,684,026","1,532,258","6,216,284"
2015,3,"5,730,340","1,776,793","7,507,133"
2015,4,"5,688,230","1,671,021","7,359,251"
2015,5,"5,704,600","1,777,277","7,481,877"
2015,6,"5,938,232","1,950,817","7,889,049"
2015,7,"11,012,728","2,955,422","13,968,150"
2015,8,"10,562,351","2,778,911","13,341,262"
2015,9,"9,394,625","2,153,178","11,547,803"
2015,10,"10,202,478","2,217,380","12,419,858"
2015,11,"9,500,290","2,020,508","11,520,798"
2015,12,"9,721,932","2,370,064","12,091,996"
2015,TOTAL,"93,280,017","25,010,642","118,290,659"
2016,1,"9,044,128","2,237,425","11,281,553"
2016,2,"8,630,105","1,931,654","10,561,759"
2016,3,"10,231,931","2,403,928","12,635,859"
2016,4,"9,612,141","2,218,028","11,830,169"
2016,5,"10,283,822","2,330,575","12,614,397"
2016,6,"10,576,237","2,570,740","13,146,977"
2016,7,"10,707,983","2,855,898","13,563,881"
2016,8,"10,094,479","2,610,334","12,704,813"
2016,9,"9,213,005","2,007,737","11,220,742"
2016,10,"9,669,243","2,094,834","11,764,077"
2016,11,"9,228,542",,
2016,12,"9,334,761",,
2016,TOTAL,"116,626,377","23,261,153","121,324,227"
2017,1,"8,850,729",,
2017,TOTAL,"8,850,729",0,0
