Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2013,4,"1,448,264","163,377","1,611,641"
2013,5,"1,516,303","147,349","1,663,652"
2013,6,"1,639,778","149,419","1,789,197"
2013,7,"1,761,878","159,430","1,921,308"
2013,8,"1,739,495","152,473","1,891,968"
2013,9,"1,424,121","118,164","1,542,285"
2013,10,"1,424,234","133,823","1,558,057"
2013,11,"1,365,712","159,545","1,525,257"
2013,12,"1,501,145","168,511","1,669,656"
2013,TOTAL,"17,866,817","1,832,782","19,699,599"
2014,1,"1,365,648","169,058","1,534,706"
2014,2,"1,300,456","153,936","1,454,392"
2014,3,"1,562,809","176,866","1,739,675"
2014,4,"1,512,446","172,514","1,684,960"
2014,5,"1,577,668","151,593","1,729,261"
2014,6,"1,729,779","153,533","1,883,312"
2014,7,"1,889,798","162,933","2,052,731"
2014,8,"1,888,364","154,239","2,042,603"
2014,9,"1,557,451","89,649","1,647,100"
2014,10,"1,576,340","90,910","1,667,250"
2014,11,"1,529,706","141,590","1,671,296"
2014,12,"1,662,694","165,245","1,827,939"
2014,TOTAL,"19,153,159","1,782,066","20,935,225"
2015,1,"1,529,707","147,325","1,677,032"
2015,2,"1,468,717","128,210","1,596,927"
2015,3,"1,799,791","154,162","1,953,953"
2015,4,"1,702,382","139,728","1,842,110"
2015,5,"1,808,234","109,671","1,917,905"
2015,6,"1,910,734","105,471","2,016,205"
2015,7,"2,061,564","111,885","2,173,449"
2015,8,"2,068,354","109,206","2,177,560"
2015,9,"1,729,247","79,605","1,808,852"
2015,10,"1,747,028","111,205","1,858,233"
2015,11,"1,696,977","146,825","1,843,802"
2015,12,"1,799,382","162,126","1,961,508"
2015,TOTAL,"21,322,117","1,505,419","22,827,536"
2016,1,"1,646,661","160,447","1,807,108"
2016,2,"1,590,540","147,570","1,738,110"
2016,3,"1,918,736","167,012","2,085,748"
2016,4,"1,853,029","155,715","2,008,744"
2016,5,"1,962,402","121,495","2,083,897"
2016,6,"2,042,143","133,997","2,176,140"
2016,7,"2,141,495","147,140","2,288,635"
2016,8,"2,169,693","129,505","2,299,198"
2016,9,"1,803,356","103,807","1,907,163"
2016,10,"1,799,719","143,925","1,943,644"
2016,11,"1,820,053",,
2016,12,"1,868,147",,
2016,TOTAL,"22,615,974","1,410,613","20,338,387"
2017,1,"1,731,548",,
2017,TOTAL,"1,731,548",0,0
