Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2015,7,"1,053,079",,"1,053,079"
2015,8,"811,710",,"811,710"
2015,9,"534,992",,"534,992"
2015,10,"729,851",,"729,851"
2015,11,"761,156",,"761,156"
2015,12,"845,407",,"845,407"
2015,TOTAL,"9,414,584",0,"9,414,584"
2016,1,"733,034",,"733,034"
2016,2,"800,350",,"800,350"
2016,3,"1,048,923",,"1,048,923"
2016,4,"847,491",,"847,491"
2016,5,"886,532",,"886,532"
2016,6,"1,135,251",245,"1,135,496"
2016,7,"1,249,037",,"1,249,037"
2016,8,"933,101",,"933,101"
2016,9,"739,661",,"739,661"
2016,10,"864,677",,"864,677"
2016,11,"860,540",,
2016,12,"975,957",,
2016,TOTAL,"11,074,554",245,"9,238,302"
2017,1,"856,610",,
2017,TOTAL,"856,610",0,0
