,4Q Fares (current dollars)
1995,288
1996,278
1997,294
1998,316
1999,318
2000,340
2001,300
2002,309
2003,316
2004,297
2005,315
2006,318
2007,330
2008,345
2009,320
2010,335
2011,368
2012,374
2013,382
2014,393
2015,363
2016,347
