,2Q Fares (current dollars)
1995,297
1996,276
1997,289
1998,301
1999,329
2000,339
2001,329
2002,318
2003,315
2004,309
2005,307
2006,342
2007,325
2008,347
2009,302
2010,341
2011,370
2012,385
2013,378
2014,396
2015,386
2016,353
