Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,830,714","792,379","5,623,093"
2002,11,"4,348,668","712,756","5,061,424"
2002,12,"5,069,138","777,458","5,846,596"
2002,TOTAL,"57,784,719","9,490,682","67,275,401"
2003,1,"4,369,263","732,924","5,102,187"
2003,2,"4,102,945","603,146","4,706,091"
2003,3,"4,843,520","689,765","5,533,285"
2003,4,"4,536,394","517,354","5,053,748"
2003,5,"4,699,311","587,265","5,286,576"
2003,6,"5,038,178","728,925","5,767,103"
2003,7,"5,400,012","812,197","6,212,209"
2003,8,"5,223,454","839,038","6,062,492"
2003,9,"4,265,898","754,389","5,020,287"
2003,10,"4,688,073","766,133","5,454,206"
2003,11,"4,391,521","723,513","5,115,034"
2003,12,"4,742,188","771,340","5,513,528"
2003,TOTAL,"56,300,757","8,525,989","64,826,746"
2004,1,"4,155,776","732,579","4,888,355"
2004,2,"4,197,443","669,223","4,866,666"
2004,3,"5,029,770","793,659","5,823,429"
2004,4,"5,022,073","744,999","5,767,072"
2004,5,"5,120,358","772,278","5,892,636"
2004,6,"5,604,403","856,511","6,460,914"
2004,7,"5,833,064","878,846","6,711,910"
2004,8,"5,818,290","876,265","6,694,555"
2004,9,"4,803,786","806,850","5,610,636"
2004,10,"5,099,458","789,224","5,888,682"
2004,11,"4,602,256","734,005","5,336,261"
2004,12,"4,781,381","813,292","5,594,673"
2004,TOTAL,"60,068,058","9,467,731","69,535,789"
2005,1,"4,229,943","832,152","5,062,095"
2005,2,"3,907,166","721,354","4,628,520"
2005,3,"4,725,384","906,815","5,632,199"
2005,4,"4,385,818","837,493","5,223,311"
2005,5,"4,749,146","882,503","5,631,649"
2005,6,"5,052,563","942,981","5,995,544"
2005,7,"5,113,511","956,257","6,069,768"
2005,8,"4,964,338","949,729","5,914,067"
2005,9,"4,338,021","843,870","5,181,891"
2005,10,"4,608,511","840,758","5,449,269"
2005,11,"4,465,313","769,870","5,235,183"
2005,12,"4,613,608","845,255","5,458,863"
2005,TOTAL,"55,153,322","10,329,037","65,482,359"
2006,1,"4,284,312","852,651","5,136,963"
2006,2,"4,113,536","740,246","4,853,782"
2006,3,"5,008,165","922,795","5,930,960"
2006,4,"4,835,959","895,149","5,731,108"
2006,5,"5,030,198","920,206","5,950,404"
2006,6,"5,228,045","986,683","6,214,728"
2006,7,"5,333,170","1,024,491","6,357,661"
2006,8,"5,093,192","992,326","6,085,518"
2006,9,"4,460,363","860,956","5,321,319"
2006,10,"4,827,296","855,258","5,682,554"
